id,text,rating,author,date,source
twogis_000,"очень приятное место и стаф! вкусные блюда, настойки, быстрая подача и тепло на уличных местах ресторана было сидеть, спасибо за вечер! ну и система лояльности хороша",3,ЕкатеринаПетрова,2025-09-29,2GIS
twogis_001,"Польстилась на отзывы, действительно обслуживание хорошее, есть комплимент шампанское на завтрак. Но еда меня совершенно разочаровала. А летающая муха в зале добавила антуража. Яйцо пашот было холодным, переваренным и без жидкого желтка, была какая-то кислинка не особо приятная. Рамен тоже очень разочаровал, холодная лапша(скорее всего вчерашняя) и ненасышенный бульон. Думаю это формат зайти вечером после другого заведения на настойку, но я больше не планирую возвращаться. Ожидание реальность не совпали, все невкусно.",3,Аноним,2025-09-18,2GIS
twogis_002,"Место ТОП. Атмосфера, обслуживание, еда.
Но самое удивительное - это концепция, основанная на легендах. Даже меню и барное и те со своим подходом к формированию. Рекомендую всем!",3,ВладиславУ.,2025-10-02,2GIS
twogis_003,Тут вкусно и хорошо! И приветливый компетентый персонал! Хочется возвращаться😍,3,СветланаМишкевич,2025-08-30,2GIS
twogis_004,"Классное место. коктейли необычные - есть сладенькие, есть терпкие, кисленькие. Бар, кухня, официанты - все явно знают, что делают. Претендует на звание любимогл бара",3,СтычНаивняк,2025-08-30,2GIS
twogis_005,Галки это всегда необычное смешение вкусов! Вкусно и неожиданно!,3,СветланаО.,2025-10-02,2GIS
twogis_006,"Были впервые по рекомендации коллеги. Бронировали заранее.
Место очень аутентичное и атмосферное, особенно внутри, при этом по летней веранде до конца прочувствовать весь антураж заведения нельзя.
Еда и напитки мне понравились. Было вкусно.
Персонал приветлив и доброжелателен.",3,Veto_na_leto,2025-08-20,2GIS
twogis_007,"Вкусно, но дороговато. А ещё без брони лучше не приходить, может быть некомфортно.",3,АлексейТ.,2025-10-02,2GIS
twogis_008,"потрясающее место. превосходные кухня, бар, обслуживание. приятная система лояльности.
Галки долгие годы держат марку. молодцы!
мы в стае!",3,СветланаС.,2025-10-02,2GIS
twogis_009,"Были здесь уже раза три,каждый раз в невероятном восторге оставались.Приду сюда ещё раз,обожаю это место!",3,КамильСалахутдинов,2025-07-29,2GIS
twogis_010,"Необычное место) вкусно готовят, любят клиентов! Иногда люблю у них покушать",3,NataliLatani,2025-07-29,2GIS
twogis_011,"Галки, я вас обожаю. Вы лучшие! Невероятная атмосфера, вкуснейшие коктейли. Отличная кухня.",3,ТатьянаМ,2025-04-23,2GIS
twogis_012,"Хорошее место. Шеф повар бомба, необычные блюда и сочетания вкусов вас покорят.
Что оставляет желать лучшего, так это посадка гостей, вроде и бронировали столик на будний день, но всё равно попали за общий стол (что очень расстроило, тк пришли отмечать день рождение). Спасибо конечно, что не зона «сеновал» (если я правильно определила зону), люди просто сидят в коридоре согнувшись в три погибели и мимо них постоянно ходят гости и официанты",3,ВладаС.,2025-10-02,2GIS
twogis_013,"Рекомендую это место всем и каждому! Невероятное место! Внутри все сильно красиво и стильно, везде восковые свечи, официанты отзывчивы и интересны! Брала зеленый салат, а там оказалось три заправки на выбор, очень круто! Брала с имбирной заправкой, сильно хорошее сочетание! Также брала пасту с лисичками, так после этого скребла тарелку ложкой, чтобы собрать остатки соуса! Обожаю) Спасибо, что вы есть! Процветания!",3,ОлесяБянкина,2025-07-17,2GIS
twogis_014,"Самый любимый и вкусный ресторан Москвы. Совершенно без пафоса, но уютный и загадочный",3,НатальяЭ.,2025-10-02,2GIS
twogis_015,"Неплохой бар для свидания. Коктейли делают качественно, выбор большой, можно найти что-то на любой вкус. Интерьер стильный и современный, музыка не слишком громкая, можно поговорить. Цены выше среднего, но оно того стоит. В целом, хорошее место, чтобы провести вечер с девушкой.",3,JohanAmira,2025-07-17,2GIS
twogis_016,"Это спрятанное месте без навигации и опознавательных вывесок и режимников- вначале смутило, но голод и час поиска, катаясь по кругу вокруг домов убеждали посетить заведение.
Смутил шум людности и интерьер, наверное мы просто искали другой тип ресторана - НО !
Когда мы попробовали блюда, точно убедились, что кухня получает самую высокую оценку 👍
Очень вкусно и гастрономически кайфово : осьминог, утка , миньон, копченные сливы в салате покорили ❤️
Особое впечатление преподнес Денис старший бармен, как будто он старый друг который душевно угощает близких друзей, эксклюзивными заграничными напитками и с удовольствием рассказывает о них .
Спасибо за прекрасный вечер !",3,АлександраИванова,2025-07-17,2GIS
