id,text,rating,author,date,source
115736401897_0,"Прекрасное место, получили новые вкусовые ощущения

В ресторане несколько залов - зона бара (и меню доступное исключительно в баре), зал с тёплым светом (столики расположены довольно близко друг к другу, многие на проходе), зал полутьма с сеном, и зал в темноте. Прекрасная интересная концепция, хочется возвращаться и пробовать новые места. Мы сначала разместились в баре (так как подготовка столика заняла долгое время), а после перешли в «полутьму».

Места на сене очень необычные, интересные, впечатляющие, новый экпириенс получен. Эти места лучше всего подойдут для 2-3 человек, нас было 4, и те, кто сидел с краю находились слишком далеко друг от друга для общения.

Обслуживание прекрасное, официанты общительные и вежливые, прекрасно знают блюда и могут дать грамотный совет.

Теперь по меню:
Запомнилась пицца с мандаринами - крохотная, но вкусная, получили первый опыт употребления мандарина с кожурой.
Друзья брали салаты, были полностью довольны вкусовыми сочетаниями.
Баклажан со страчателлой был прекрасен - уникальное сочетание с добавлением микрозелени, трюфеля, кедровых орешков и бальзамического соуса. Очень рекомендую попробовать.
Популярный десерт золото не особо впечатлил, второй раз бы не взяла.
А вот пончики смогли удивить и подачей, и вкусом.

Коктейли и лимонады очень вкусные, есть уникальные сочетания.

Итог: прекрасное место, очень рекомендуем, вернёмся ещё",5,Maria,2025-08-23,Yandex
115736401897_1,"Доброго вечера 🌺 
Место хорошее, находится во дворе. Необычный интерьер, не смотря на подвальное помещение, довольно хорошо работают кондиционеры. Также есть место и на веранде, где тоже можно посидеть. 
На лестнице необычный дизайн, всё в стиле ""Галки"" (птицы и гнезда). 
Что касается еды: вкусно, необычные названия и подача. Приносят быстро и очень вкусно готовят. 
Спасибо большое поварам за вкусную еду, официанту Демиду за шикарное обслуживание и уточнение всех напитков и блюд. Хочется отметить, что именно в этом месте Вас спросят есть ли у Вас аллергия, что встречается очень редко, а также повторят Ваш заказ. 
Девушки администраторы провожают до забронированного столика, спасибо им большое, а также напоминают за 20 минут, что столик рассчитан по времени. 
Видимо это связано с загрузкой бара. 
Из минусов: темновато (несмотря на интерьер, лучше добавить освещения ❤️), тесновато и мало по времени (ограничено на 1.5 часа, что в среднем это мало, можно хотя бы 2 часа 😃) 
А в общем само место хорошее, приятный и вежливый персонал. Спасибо Вам большое 🤗❤️",5,НаталиТ.,2025-08-03,Yandex
115736401897_2,"Очень атмосферный ресторанчик, были вдвоём вечером в будни, пришли, не забронировав столик, там было куча народу, но нас все равно посадили, за большой подоконник, там вообще помимо обычных столов, есть вот такие вот - у подоконника, в подходе между залами низенькие столики, а люди сидят на сене, накрытым пледом, в туалете, кстати, тоже стоит большой стог сена, и вообще там сделана имитация какого-то средневековья, стены глиняные мазанки, а в кабинках потолок как будто крыша из веточек, да и в самих залах горят настоящие свечи и такой полумрак и все каменное, деревянное. О кухне отдельно, я люблю в ресторанах брать разные закуски, можно взять много разнообразных, все попробовать и не наесться так, что не встать. Так вот, брали паштет из кролика, салат с арбузом и брынзой, копчёную утку со страчателлой и запечённый камамбер, все очень вкусно, к кролику подавалась свежеиспечённая лепёшка, а к камамберу такой ломоть крафтового хлеба, единственное было очень много сливовое варенья в нём и он был не запечённый, а расплавленный в миске. Но, есть одно Но, там очень шумно и из-за народа и из-за музыки, поэтому общаться не очень комфортно. Основное помещение в подвале дома, но есть несколько столиков на поверхности, вот там уже можно общаться, тк не так шумно. В общем, очень рекомендую это место.",5,ПолинаНиколаева,2025-08-07,Yandex
115736401897_3,"Галки 🖤🖤🐦‍⬛
У этого чудесного ресторана отдельное место в моём сердце :)

Мне очень нравится полутьма, аромат благовоний, мистические фрески и картины на стенах, венки из сухих цветов и злаков на люстрах, плачущие свечи, сеновал, нереальная гипнотическая музыка, атмосфера ускользающей тайны, к которой ты стал чуточку причастен. Сервис тут замечательный, очень приятно общаются официанты, по-дружески, весело, но вежливо и деликатно, прям идеальный баланс friendly сервиса без порой обескураживающего панибратства.

Ну и конечно же еда. Мои фавориты - паста с гребешками, сырный паштет, тыквенный супчик с уткой, десерт золото и крем брюле. И кормилица маракуйная, куда уж без неё, как алкогольный, так и безалкогольный вариант :)

Я водила сюда маму с бабушкой, мужа, друзей, все уходили очень довольными 🧡 мы давно уже в стае :)",5,Анастасия,2025-10-16,Yandex
115736401897_4,"Очень атмосферный рксторан-бар. 
Посадка за стол на 1,5 часа. 
Внутри вечером практически всегда полная посадка. 
Отличные коктейли, вкусно очень. 
Пицца с грибами, потрясающая, теперь любимая в Москве. 
Из того, что не понравилось - надменные официанты. 
В туалетах проблемы с запиранием кабинок. 
Внутри очень темно для съемки, концепция ресторана - не предполагает съемку со вспышкой, о чем, ко мне подошел и сообщил менеджер. На столах стоят фонарики, которыми при желании можно подсветить что-нибудь. 
Лучше бронировать места заранее.",4,ЛюдмилаНикитина,2025-06-10,Yandex
115736401897_5,"Второй визит в ресторан - совершенно другой уровень!

Решили дать ресторану второй шанс, и не прогадали! На этот раз всё было просто безупречно.

Обслуживание превзошло все ожидания. Хостес встретила с улыбкой, сразу провела к столу без каких-либо задержек. Официант был внимателен, давал отличные рекомендации по меню и оперативно реагировал на все просьбы.

Кухня поразила своим качеством. Особенно впечатлили:
Свиные рёбра - сочные, с идеальным балансом специй.
Треска - нежная, приготовлена до совершенства.
Креветки васаби - пикантные, с ярким вкусом.
Карпаччо из говядины - свежее, с превосходным соусом.

Атмосфера ресторана была уютной и располагающей к отдыху. Музыка играла в меру, освещение создавало приятную обстановку.

В этот раз ресторан полностью оправдал наши ожидания. Видно, что администрация учла предыдущие недочёты и серьёзно поработала над качеством сервиса. Однозначно рекомендуем к посещению!",5,АндрейРедченко,2025-07-02,Yandex
115736401897_6,"Приятная атмосфера и оформление помещений. Посадка плотная, довольно шумно - это не минусы, просо стоит иметь в виду.  Мы были у барной стойки, удалось понаблюдать за персоналом. Заметно, что работают очень слаженно, даже при высокой загрузке в пятницу вечером нас не обделили: официанты и бармены внимательны и дружелюбны. Касательно блюд и напитков:  если вы голодны и хотите просто поесть, то рискуете здесь потратиться, поскольку порции относительно небольшие, но и место позиционируется скорее как коктейль-бар, судя по меню. Я взял пару коктейлей на джине, оба понравились, хотя я не ценитель таких штук. В общем и целом место понравилось, я бы вернулся. Вопрос только вызывает насколько продуманы меры безопасности: глубокий подвал, тесные пространства, персонал периодически работет с открытым огнём.",5,Никита,2025-10-12,Yandex
115736401897_7,"Был здесь дважды, оба раза понравились и кухня, и коктейли. 
Был сегодня, заказывал лимончелло, заходит легко, но не вставляет.
Кухня - очень вкусно и креативно. Брал батат с каким-то соусом и сметаной - очень интересное, многогранное сочетание, и кислинка, и сладинка, и остринка. Очень нежное блюдо. Попкорн из креветок в васаби тоже выше всяких похвал - сама порция нормального размера, как и собственно креветки, не «попкорнового» размера. В целом в сочетании с соусом является прекрасным вариантом для закуски алкоголя. 
В заведении приятная, уютная атмосфера, несмотря на полную посадку и трудности в проходе. Туалет приятный, чистый, без неприятных запахов. Приглушённый свет, ненавязчивая фоновая музыка позволяют с комфортом общаться. Жаль, что не смогли по техническим причинам оформить мне карту гостя, но надеюсь вернусь сюда снова в скором времени и всё-таки оформят 🥹",5,МаксМонако,2025-07-06,Yandex
115736401897_8,"Галки - это бунтарь, это причесанный мальчик из интеллигентной семьи, но внутри его футляра для скрипки баллончики с краской. 

Само заведение действительно непросто найти (и неееевозможно забыть💔). Нет ни громкой вывески, ни цветастого указателя, лишь аналогия с косым переулком из Гарри Поттера. 

Внутри вайбы Касабланки, нигде ещё я не встречал такого сочетания, казалось бы, не сочетаемых по настроению людей.  Здесь можно увидеть компанию шумеров с коктейлями, сидящих вдоль стены, в углу мужчину, чьи виски щедро тронула седина, а напротив его спутницу в вечернем платье и на каблуках, парочку, снимающих верхнюю одежду при входе со словами от парня : «вот это место я хотел тебе показать». И вся эта компания настолько гармонично существует, настолько не мешает друг другу, что диву даешься.

 Что всех так привлекает? Может интерьер как в фэнтезийных сказках про ведьм? Может не банальный плейлист, позволяющий свободно общаться со своим собеседником и не быть услышанными всеми остальными? Или дело в кухне?

Кстати о про кухню. Галки и здесь бросают вызов московским ресторанам и барам с их модой на comfort food, добавив нотки эксцентричности в знакомые блюда. Подача быстрая, что удивительно, учитывая небольшую, по размерам, кухню и всегда полную посадку (бронируйте места на вечер заранее). 

Бар обладает обширным выбором алкоголя, жемчужиной которого является коктейльная карта(на мой субъективный вкус). Кажется, что местные бармены правда побывали в сказках про ведьм - нелегально так круто смешивать 👍🏼 . Однозначно пробуйте одноименный коктейль «Галки» по вкусу и подаче - это звезда. 

Пару слов о персонале - учтив, внимателен, всегда идут на встречу, если это возможно. Был случай, у нас приняли заказ и разрешили наслаждаться им на улице(внутри мест не было), максимально нетипично для других заведений. 

Я побывал в галках два раза только в этом году и останавливаться в следующем не планирую. Если андеграунд, то только такой.",5,Сергей,2025-10-23,Yandex
115736401897_9,"Зашел пообедать и приятно удивился. Открыл очень вайбовое место, с приятными легкими официантами! Тартар из угря очень нежный, единственный минус маленькая порция) Как же я люблю битые огурцы и здесь они великолепные. Брускетка с креветками честно не удивила, простенькая. Основные блюда очень сытные и вкусные. А перед уходом мне предложили скрутить самокруточку у них за специальным столиком. Вот это я понимаю сервис! Оформил карту вернусь еще!",5,НикитаП.,2025-07-11,Yandex
